Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
,over_het_rijksmuseum,,,,,,,2.0,127.0,38.0,36.0,31.0,,,,,,,,,,,,,,,,,,,,,,234.0
,,,catalogue-entry,,,,,,,,,,,,,,,,,,,,2.0,58.0,4.0,,13.0,34.0,25.0,17.0,26.0,33.0,,212.0
,,,,objects,,,,,,,,,,,,,,,,2.0,10.0,6.0,2.0,17.0,14.0,11.0,3.0,36.0,16.0,21.0,15.0,44.0,,197.0
,,30412--geertruida-m-p-brouwer,,,,,,,,,,,,,,,,,,,,5.0,74.0,84.0,,,,2.0,2.0,1.0,8.0,1.0,,177.0
,,artists,,,,,,,,,,,,,,,,,,,,,,17.0,105.0,10.0,4.0,4.0,8.0,13.0,6.0,6.0,,173.0
,,subjects,,,,,,,,,,,,,,,,,,,13.0,23.0,21.0,27.0,8.0,1.0,1.0,24.0,9.0,29.0,2.0,3.0,,161.0
,,onderwerpen,,,,,,,,,,,,,,,,,,,16.0,15.0,48.0,,1.0,,2.0,31.0,12.0,31.0,,4.0,,160.0
,,kunstenaars,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,19.0,31.0,38.0,32.0,2.0,11.0,,151.0
,api,,,,,,,,,,,,,,,,,,,,,1.0,4.0,103.0,4.0,2.0,7.0,10.0,2.0,,,1.0,,134.0
,,overview,,,,,,,,,,,,,,,,,,2.0,14.0,22.0,41.0,52.0,,,,1.0,,,,,,132.0
aria,,,,,,,,,,,,24.0,88.0,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,118.0
,,mijn,,,,,,,,,,,,,,,,,,,,,,103.0,2.0,,1.0,1.0,1.0,1.0,,,,109.0
,,overzicht,,,,,,,,,,,,,,,,,,,13.0,22.0,31.0,43.0,,,,,,,,,,109.0
de,,,,,,,,1.0,13.0,3.0,,,,,,,,,,,1.0,1.0,6.0,4.0,4.0,2.0,2.0,6.0,7.0,11.0,5.0,6.0,32.0,104.0
,nu-in-het-museum,,,,,,,,,,,,,,,,,,,,34.0,3.0,30.0,8.0,5.0,5.0,9.0,4.0,,,,,,98.0
,,69639--yvonne-klop,,,,,,,,,,,,,,,,,,,,19.0,34.0,37.0,,,,,1.0,1.0,,1.0,,93.0
,onderwijs,,,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,1.0,2.0,17.0,8.0,4.0,3.0,50.0,90.0
fr,,,,,,,,,9.0,2.0,,,,,,,,,,,1.0,,7.0,2.0,4.0,2.0,4.0,9.0,2.0,14.0,5.0,4.0,24.0,89.0
api,,,,,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,,,,,5.0,75.0,87.0
,educatie,,,,,,,,48.0,3.0,6.0,30.0,,,,,,,,,,,,,,,,,,,,,,87.0
,homepage,,,,,,,,,,,,,,5.0,4.0,4.0,13.0,24.0,10.0,6.0,5.0,3.0,,1.0,,,,,,,,,75.0
collection,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,8.0,5.0,1.0,,1.0,,58.0
,bezoekersinfo,,,,,,,5.0,41.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,57.0
,aria_assets,,,,,,,,,,,16.0,36.0,,1.0,,,,,,,,,,,,,,,,,,,53.0
