length,year,format,object_number
2246,2001,jpg,BK-18305
1775,2002,jpg,BK-1954-37
2261,2001,jpg,BK-1954-44
2735,2001,jpg,BK-1954-69
2020,2001,jpg,BK-1955-328-A
3434,2001,jpg,BK-1955-99
2822,2001,jpg,BK-1956-62
1945,2003,jpg,BK-1956-8
1750,2001,jpg,BK-1957-14
1614,2001,jpg,BK-1958-44
2123,2002,jpg,BK-1959-10
2464,2001,jpg,BK-1959-14
1892,2002,jpg,BK-1959-19
1935,2001,jpg,BK-1959-2
1684,2001,jpg,BK-1959-3
2168,2001,jpg,BK-1959-51
1759,2001,jpg,BK-1959-61
2699,2003,jpg,BK-1959-63
2214,2001,jpg,BK-1959-78
3597,2001,jpg,BK-1959-83
2880,2001,jpg,BK-1959-98
1893,2001,jpg,BK-1960-11
2554,2001,jpg,BK-1960-13
2452,2001,jpg,BK-1960-14
2776,2001,jpg,BK-1960-15
1882,2001,jpg,BK-1960-16-A
3177,2001,jpg,BK-1961-101
3215,2001,jpg,BK-1961-102
3412,2001,jpg,BK-1961-103
1827,2002,jpg,BK-1961-63
2302,2002,jpg,BK-1962-33
2819,2001,jpg,BK-1962-49
2630,2001,jpg,BK-1962-50
1956,2002,jpg,BK-1963-101
2776,2001,jpg,BK-1964-12
2041,2001,jpg,BK-1964-13
2197,2002,jpg,BK-1964-14-A
2552,2002,jpg,BK-1964-5
2085,2002,jpg,BK-1965-14
1543,2001,jpg,BK-1966-10
3255,2002,jpg,BK-1966-48
2900,2001,jpg,BK-1966-58
3182,2001,jpg,BK-1967-138
2795,2001,jpg,BK-1967-25
2081,2002,jpg,BK-1968-30
1470,2002,jpg,BK-1969-102-A
2466,2003,jpg,BK-1969-141
2029,2003,jpg,BK-1970-28
2451,2001,jpg,BK-1971-115-A
3747,2002,jpg,BK-1971-117
1958,2001,jpg,BK-1972-157-A
2120,2000,jpg,BK-1973-158
1633,2003,jpg,BK-1975-101
4131,2002,jpg,BK-1975-359
4567,2002,jpg,BK-1975-80
2289,2001,jpg,BK-1975-81
2341,2001,jpg,BK-1975-87-A
2042,2001,jpg,BK-1976-75
3471,2001,jpg,BK-1977-134
1740,2001,jpg,BK-1977-24
1723,2001,jpg,BK-1978-126
1947,2001,jpg,BK-1978-20
1954,2001,jpg,BK-1978-247
2409,2001,jpg,BK-1978-248
2545,2001,jpg,BK-1978-250
2652,2001,jpg,BK-1978-315
2295,2001,jpg,Bk-1978-36
1947,2001,jpg,BK-1978-462
3112,2001,jpg,BK-1978-48
2107,2001,jpg,BK-1978-792
2590,2001,jpg,BK-1979-101
2327,2003,jpg,BK-1979-21
3670,2001,jpg,BK-1980-86
1598,2002,jpg,BK-1981-51
2030,2001,jpg,BK-1983-15
2111,2001,jpg,BK-1984-12
2309,2002,jpg,BK-1985-10
2198,2001,jpg,BK-1985-24
1730,2002,jpg,BK-1987-2
1841,2001,jpg,BK-1988-15-A
2952,2002,jpg,BK-1989-16
2648,2001,jpg,BK-1990-1
2461,2001,jpg,BK-1990-7
2390,2001,jpg,BK-1991-00
1608,2001,jpg,BK-1995-4
2067,2001,jpg,BK-1996-15
1864,2001,jpg,BK-1997-1
2125,2002,jpg,BK-1998-1
1487,2001,jpg,BK-1998-74
2223,2001,jpg,bk-1998-96
2763,2002,jpg,BK-1999-85
2102,2001,jpg,BK-2000-17
1788,2001,jpg,BK-2000-2
2371,2001,jpg,BK-2000-3
2118,2001,jpg,BK-2000-8
2520,2002,jpg,BK-2000-9
2792,2001,jpg,BK-A-16978
2552,2001,jpg,BK-AM-12
1451,2001,jpg,BK-AM-16
2524,2001,jpg,BK-AM-17
1856,2002,jpg,BK-AM-24
2412,2002,jpg,BK-Am-33
2210,2002,jpg,BK-Am-38
2488,2002,jpg,BK-Am-51-10
2107,2002,jpg,BK-Am-51-11
3324,2001,jpg,BK-Am-51-21
3473,2001,jpg,BK-AM-51-24-A-1
1650,2001,jpg,BK-Am-51-3
1643,2001,jpg,BK-Am-51-7
1818,2001,jpg,BK-B-113
1930,2001,jpg,BK-B-116
2012,2001,jpg,BK-B-44
1840,2001,jpg,BK-B-70
1911,2001,jpg,BK-B-77
1705,2001,jpg,BK-B-81
1772,2001,jpg,BK-B-93
2622,2002,jpg,BK-Bfr-417
2299,2001,jpg,BK-Bfr-419
2083,2001,jpg,BK-BR-547
1892,2001,jpg,BK-Br-921
1857,2001,jpg,BK-BR-J-17
1758,2001,jpg,BK-BR-J-233
1839,2001,jpg,BK-C-1997-2
2086,2001,jpg,BK-KOG-102
1488,2001,jpg,BK-KOG-117
3436,2002,jpg,BK-KOG-1208
1739,2001,jpg,BK-KOG-133
2324,2001,jpg,BK-KOG-1457
2710,2001,jpg,BK-KOG-1458
1738,2002,jpg,BK-KOG-1557
1519,2001,jpg,BK-KOG-1668
1473,2002,jpg,BK-KOG-1723
2079,2002,jpg,BK-KOG-1777
2663,2001,jpg,BK-KOG-1799
2701,2002,jpg,BK-KOG-1810
1716,2001,jpg,BK-KOG-2474
2209,2001,jpg,BK-KOG-2567
3998,2001,jpg,BK-KOG-41
2622,2001,jpg,BK-KOG-42
2237,2002,jpg,BK-KOG-593
2236,2001,jpg,BK-KOG-656
2089,2002,jpg,BK-NM-1009
3285,2001,jpg,BK-NM-1010
2523,2001,jpg,BK-NM-10222
3023,2001,jpg,BK-NM-10244-A
2151,2001,jpg,BK-NM-10269
2700,2001,jpg,BK-NM-10513
2488,2001,jpg,BK-NM-10515
2008,2001,jpg,BK-NM-10557
1780,2001,jpg,BK-NM-10754-336
1769,2001,jpg,BK-NM-10754-50
2241,2002,jpg,BK-NM-10798
8031,2004,jpg,BK-NM-10831
3055,2002,jpg,BK-NM-11131
2565,2001,jpg,BK-NM-11146
2088,2002,jpg,BK-NM-11163
1923,2001,jpg,BK-NM-11450
2249,2001,jpg,BK-NM-11452
2409,2001,jpg,BK-NM-11647
3121,2001,jpg,BK-NM-11702
1887,2001,jpg,BK-NM-11713
2539,2001,jpg,BK-NM-11859
1748,2001,jpg,BK-NM-1195
2023,2001,jpg,BK-NM-12080
1697,2001,jpg,BK-NM-1213
3088,2001,jpg,BK-NM-12231-A
2426,2001,jpg,BK-NM-12253
2602,2002,jpg,BK-NM-12400-400
2073,2002,jpg,BK-NM-12400-437
2353,2002,jpg,BK-NM-12400-443
2621,2001,jpg,BK-NM-12400-61
2053,2003,jpg,BK-NM-12400-93
2569,2001,jpg,BK-NM-125
2727,2001,jpg,BK-NM-12713
3224,2001,jpg,BK-NM-12969
1801,2001,jpg,BK-NM-13030
2319,2001,jpg,BK-NM-13112
2170,2001,jpg,BK-NM-13150
2379,2001,jpg,BK-NM-13258
2027,2002,jpg,BK-NM-14111
2900,2003,jpg,BK-NM-14201
2065,2002,jpg,BK-NM-14202
2508,2002,jpg,BK-NM-14348
2414,2002,jpg,BK-NM-14382
2265,2002,jpg,BK-NM-1914
3136,2001,jpg,BK-NM-1916
2345,2001,jpg,BK-NM-1971
1685,2003,jpg,BK-NM-2384
1887,2002,jpg,BK-NM-2806
2026,2003,jpg,BK-NM-2807
1898,2001,jpg,BK-NM-2865
2322,2002,jpg,BK-NM-2931
1804,2001,jpg,BK-NM-2934
2323,2001,jpg,BK-NM-3099
1875,2001,jpg,BK-NM-3888
2522,2002,jpg,BK-NM-3932
2219,2003,jpg,BK-NM-4150
1865,2001,jpg,BK-NM-4191
2355,2001,jpg,BK-NM-4352
9009,2004,jpg,BK-NM-475
1770,2001,jpg,BK-NM-5153
1638,2001,jpg,BK-NM-5445
2552,2001,jpg,BK-NM-5671
1916,2001,jpg,BK-NM-583
2098,2002,jpg,BK-NM-5837
2332,2002,jpg,BK-NM-5850
2174,2001,jpg,BK-NM-712
3042,2001,jpg,BK-NM-7325
3489,2002,jpg,BK-NM-7402
1952,2001,jpg,BK-NM-7459
1672,2002,jpg,BK-NM-7994
1619,2001,jpg,BK-NM-7995
1940,2001,jpg,BK-NM-8009
1999,2001,jpg,BK-NM-8016
2048,2001,jpg,BK-NM-8186
2015,2001,jpg,BK-NM-8188
1738,2001,jpg,BK-NM-8201
1857,2001,jpg,BK-NM-88
1923,2001,jpg,BK-NM-8845
1896,2001,jpg,BK-NM-9001
1855,2002,jpg,BK-NM-9387
1822,2004,jpg,BK-NM-9816
2260,2001,jpg,BK-VBR-199
1912,2002,jpg,BK-VBR-395
490189,2004,jpg,BK-14517
229837,2003,jpg,BK-15116
353632,2002,jpg,BK-15117
557379,2002,jpg,BK-15784
412159,2004,jpg,BK-16502
129006,2002,jpg,BK-16933
207756,2002,jpg,BK-16938
286937,2002,jpg,BK-16939
178743,2004,jpg,BK-18305
290005,2002,jpg,BK-1959-2
495512,2003,jpg,BK-1961-102
592553,2004,jpg,BK-1966-58
228618,2004,jpg,BK-1977-24
1427978,2004,jpg,BK-Am-51-10
479774,2004,jpg,BK-Am-51-11
456916,2004,jpg,BK-Am-51-21
298153,2004,jpg,BK-AM-51-24-A-1
118562,2004,jpg,BK-Am-51-5
259693,2004,jpg,BK-Am-51-6
