format,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
HTML,1,54,505,117,68,134,151,7,39,17,50,33,55,283,967,2120,4649,24838,671,317,153574,130661,6701,12331,30395,77514,332662
IMAGE,0,18,1709,2541,1557,1892,116,79,88,9,58,59,172,82,73,14,4,47,4,4,0,3,3,0,20,1,10
