length,year,format,object_number
2466,2003,jpg,BK-1969-141
2029,2003,jpg,BK-1970-28
2451,2001,jpg,BK-1971-115-A
3747,2002,jpg,BK-1971-117
1958,2001,jpg,BK-1972-157-A
2120,2000,jpg,BK-1973-158
1633,2003,jpg,BK-1975-101
4131,2002,jpg,BK-1975-359
4567,2002,jpg,BK-1975-80
2289,2001,jpg,BK-1975-81
2341,2001,jpg,BK-1975-87-A
2042,2001,jpg,BK-1976-75
3471,2001,jpg,BK-1977-134
1740,2001,jpg,BK-1977-24
1723,2001,jpg,BK-1978-126
1947,2001,jpg,BK-1978-20
1954,2001,jpg,BK-1978-247
2409,2001,jpg,BK-1978-248
2545,2001,jpg,BK-1978-250
2652,2001,jpg,BK-1978-315
2295,2001,jpg,Bk-1978-36
1947,2001,jpg,BK-1978-462
3112,2001,jpg,BK-1978-48
2107,2001,jpg,BK-1978-792
2590,2001,jpg,BK-1979-101
2327,2003,jpg,BK-1979-21
3670,2001,jpg,BK-1980-86
1598,2002,jpg,BK-1981-51
2030,2001,jpg,BK-1983-15
2111,2001,jpg,BK-1984-12
2309,2002,jpg,BK-1985-10
2198,2001,jpg,BK-1985-24
1730,2002,jpg,BK-1987-2
1841,2001,jpg,BK-1988-15-A
2952,2002,jpg,BK-1989-16
2648,2001,jpg,BK-1990-1
2461,2001,jpg,BK-1990-7
2390,2001,jpg,BK-1991-00
1608,2001,jpg,BK-1995-4
2067,2001,jpg,BK-1996-15
1864,2001,jpg,BK-1997-1
2125,2002,jpg,BK-1998-1
1487,2001,jpg,BK-1998-74
2223,2001,jpg,bk-1998-96
2763,2002,jpg,BK-1999-85
2102,2001,jpg,BK-2000-17
1788,2001,jpg,BK-2000-2
2371,2001,jpg,BK-2000-3
2118,2001,jpg,BK-2000-8
2520,2002,jpg,BK-2000-9
2792,2001,jpg,BK-A-16978
2552,2001,jpg,BK-AM-12
1451,2001,jpg,BK-AM-16
2524,2001,jpg,BK-AM-17
1856,2002,jpg,BK-AM-24
2412,2002,jpg,BK-Am-33
2210,2002,jpg,BK-Am-38
2488,2002,jpg,BK-Am-51-10
2107,2002,jpg,BK-Am-51-11
3324,2001,jpg,BK-Am-51-21
3473,2001,jpg,BK-AM-51-24-A-1
1650,2001,jpg,BK-Am-51-3
1643,2001,jpg,BK-Am-51-7
1818,2001,jpg,BK-B-113
1930,2001,jpg,BK-B-116
2012,2001,jpg,BK-B-44
1840,2001,jpg,BK-B-70
1911,2001,jpg,BK-B-77
1705,2001,jpg,BK-B-81
1772,2001,jpg,BK-B-93
2622,2002,jpg,BK-Bfr-417
2299,2001,jpg,BK-Bfr-419
2083,2001,jpg,BK-BR-547
1892,2001,jpg,BK-Br-921
1857,2001,jpg,BK-BR-J-17
1758,2001,jpg,BK-BR-J-233
1839,2001,jpg,BK-C-1997-2
2086,2001,jpg,BK-KOG-102
1488,2001,jpg,BK-KOG-117
3436,2002,jpg,BK-KOG-1208
1739,2001,jpg,BK-KOG-133
2324,2001,jpg,BK-KOG-1457
1738,2002,jpg,BK-KOG-1557
1519,2001,jpg,BK-KOG-1668
1473,2002,jpg,BK-KOG-1723
2079,2002,jpg,BK-KOG-1777
2663,2001,jpg,BK-KOG-1799
2701,2002,jpg,BK-KOG-1810
1716,2001,jpg,BK-KOG-2474
2209,2001,jpg,BK-KOG-2567
3998,2001,jpg,BK-KOG-41
2622,2001,jpg,BK-KOG-42
