Segment 1,2010,2011,2012,2013,2014,2020,2021,2022,2024,total
nl,0,0,0,1136,3953,2802,5338,4307,253,17789
en,0,0,0,618,404,360,1022,1121,198,3723
fr,0,0,0,1,1,6,1,3,13,25
de,0,0,0,1,1,6,1,2,13,24
es,0,0,0,0,0,3,1,1,2,7
ru,0,0,0,1,1,1,1,1,1,6
it,0,0,0,1,1,1,1,1,1,6
